"OrganizationId","OrganizationName","OrganizationSlug","OrganizationCreationDate","OrganizationDescription"
"2","Facebook","facebook","07/25/2016","Facebook was built to help people connect and share, and over the last decade our tools have played a critical part in changing how people around the world communicate with one another. With over a billion people using the service and more than fifty offices around the globe, a career at Facebook offers countless ways to make an impact in a fast growing organization.

The Facebook Data Science team builds scalable platforms for the collection, management, and analysis of data.

We use these platforms to help drive informed decisions in areas critical to the success of the company, and conduct social science research of both internal and external interest.

We build tools and provide support for anyone at Facebook who would like to use our platforms to help make data-driven decisions or build data-intensive products and services."
"3","Figure Eight","crowdflower","08/20/2016","[Figure Eight](https://www.figure-eight.com/) is the essential Human-in-the-Loop Machine Learning platform. The Figure Eight technology platform uses machine learning assisted annotation solutions to create the high quality training data needed by models to work in the real world. Figure Eight supports a wide range of computer vision and natural language processing use cases — video object tracking, autonomous vehicles, robotics, predictive maintenance, facial recognition, medical images, aerial and satellite imagery, consumer product detection, content categorization, intelligent chat bots, document transcription, voice assistant training, audio transcription, sentiment analysis, product categorization, and search relevance - and a broad range of industries - automotive, financial services, media and entertainment, retail and ecommerce, technology, agriculture, manufacturing, medical and healthcare, power and utilities, security and surveillance, transportation and travel, and government.  The Figure Eight platform operates at an unprecedented scale having generated over 10 billion training data labels to power real world AI applications."
"4","Kaggle","kaggle","09/23/2016","Kaggle is a community of data scientists and data enthusiasts. Our platform enables you to learn from and mentor each other on your personal, academic, and professional data science journeys. 

To get involved, you can [enter a machine learning competition](https://www.kaggle.com/competitions), [publish an open dataset](https://www.kaggle.com/datasets), or [share code in our reproducible data science environment](https://www.kaggle.com/kernels). 

Kaggle’s headquarters is located in San Francisco, but we have team members working from across the US and Australia. [Join our team](https://www.kaggle.com/careers) from wherever you call home."
"5","Last-Place Ltd.","lastplaceltd","09/27/2016",""
"6","CWILOC","cwiloc","09/27/2016","[Climatological Database for the World's Oceans 1750-1850 (CLIWOC)](http://pendientedemigracion.ucm.es/info/cliwoc/intro.htm) is an EU-funded project that digitized ship logs during this time period."
"7","UCI Machine Learning","uciml","09/27/2016","The [UCI Machine Learning Repository](https://archive.ics.uci.edu/ml/index.html) maintains 351 data sets as a service to the machine learning community.

We're hosting the most popular datasets from this repository on Kaggle. This enables you to access them through [Kaggle Kernels](https://www.kaggle.com/kernels).

Have a dataset you've published on Kaggle that you'd like to donate to the UCI ML Repository? Learn about [donating a dataset here][1].


  [1]: http://archive.ics.uci.edu/ml/donation_policy.html"
"8","Hacker News","hacker-news","09/27/2016","Hacker News is a popular website run by YCombinator. It's widely known by people in the tech industry as a community site for sharing news, showing off projects, asking questions, posting jobs among other things."
"9","US Department of Health and Human Services","hhs","09/28/2016","The [United States Department of Health and Human Services (HHS)](http://www.hhs.gov/), also known as the Health Department, is a cabinet-level department of the U.S. federal government with the goal of protecting the health of all Americans and providing essential human services. Its motto is ""Improving the health, safety, and well-being of America""."
"10","MetaMind","metamind","09/28/2016","MetaMind's a machine learning company that's now part of SalesForce."
"11","Bosch","bosch","10/03/2016","The Bosch Group is a leading global supplier of technology and services. It employs roughly 375,000 associates worldwide (as of December 31, 2015). The company generated sales of 70.6 billion euros in 2015. Its operations are divided into four business sectors: Mobility Solutions, Industrial Technology, Consumer Goods, and Energy and Building Technology. 

The basis for the company’s future growth is its innovative strength. Bosch employs 55,800 associates in research and development at roughly 118 locations across the globe. The Bosch Group’s strategic objective is to deliver innovations for a connected life. Bosch improves quality of life worldwide with products and services that are innovative and spark enthusiasm. In short, Bosch creates technology that is “Invented for life.”"
"12","US Census Bureau","census","10/05/2016","The United States Census Bureau is a principal agency of the U.S. Federal Statistical System, responsible for producing data about the American people and economy.

The Census Bureau's primary mission is conducting the U.S. Census every ten years, which allocates the seats of the U.S. House of Representatives to the states based on their population. In addition to the decennial census, the Census Bureau continually conducts dozens of other censuses and surveys, including the American Community Survey, the U.S. Economic Census, and the Current Population Survey."
"13","Outbrain","outbrain","10/06/2016","We are discovery.

It's the value of bringing audiences and content together. We delight readers, create revenue, drive engagement and breed consumer insight, bringing premium publishers and marketers of all sizes into the world’s most vibrant content marketplace.

It's our mission to help people discover content that they can trust to be interesting, relevant and timely for them."
"14","Walmart","walmart","10/06/2016","We're not a retailer competing in Silicon Valley. We're building an internet technology company inside the world's largest retailer.

Each week, we serve nearly 260 million customers who visit our 11,504 stores under 65 banners in 28 countries and ecommerce websites and apps in 11 countries. With revenue of $486 billion in 2015, @WalmartLabs employs more than 3,500 associates worldwide."
"15","It's a test org?","test-org2","10/06/2016","Imagine that!"
"16","Department of Commerce","CommerceGov","10/10/2016","The mission of the Department of Commerce is to create the conditions for economic growth and opportunity. 

As part of the Obama administration’s economic team, the Secretary of Commerce serves as the voice of U.S. business within the President’s Cabinet. The Department works with businesses, universities, communities, and the Nation’s workers to promote job creation, economic growth, sustainable development, and improved standards of living for Americans. Through its 12 bureaus and nearly 47,000 employees located in all 50 states and five U.S. territories and more than 86 countries worldwide, the Department administers critical programs that touch the lives of every American. The Department’s workforce is as diverse as its mission. It is made up of economists, Nobel winning scientists, foreign service officers, patent attorneys, law enforcement officers, and specialists in everything from international trade to aerospace engineering."
"17","Allen Institute for Artificial Intelligence","allenai","10/13/2016","#AI for the Common Good

Our mission is to contribute to humanity through high-impact AI research and engineering.

#Our Story

AI2 was founded in 2014 with the singular focus of conducting high-impact research and engineering in the field of artificial intelligence, all for the common good. AI2 is the creation of Paul Allen, Microsoft co-founder, and is led by Dr. Oren Etzioni, a world-renowned researcher and professor in the field of AI and computer science.

Situated on the shores of Lake Union, AI2 employs over 60 of the world’s best scientific talent in the field of AI, attracting individuals of varied interests and backgrounds from across the globe. AI2 prides itself on the diversity and collaboration of its team, and takes a results-oriented approach to complex challenges in AI.

AI2 has undertaken four main projects, [Aristo][1], [Semantic Scholar][2], [Euclid][3], and [Plato][4], to drive fundamental advances in science and medicine through AI. Meet [our team][5], review our projects, and see our [advisors and collaborators][6].

  [1]: http://allenai.org/aristo/
  [2]: http://allenai.org/semantic-scholar/
  [3]: http://allenai.org/euclid/
  [4]: http://allenai.org/plato/
  [5]: http://allenai.org/team.html
  [6]: http://allenai.org/board-of-directors.html"
"18","Allstate Insurance","allstate","10/13/2016","#We Are The Good Hands.

The Allstate Corporation is the largest publicly held personal lines property and casualty insurer in America, serving more than 16 million households nationwide. Founded in 1931, Allstate has been dedicated to protecting our customers from life's uncertainties and preparing them for the future for more than 85 years."
"19","City of Chicago","chicago","10/17/2016","Chicago is the third-most populous city in the United States."
"21","US Patent and Trademark Office","uspto","10/19/2016","**The United States Patent and Trademark Office (USPTO)** is the federal agency for granting U.S. patents and registering trademarks. In doing this, the USPTO fulfills the mandate of Article I, Section 8, Clause 8, of the Constitution that the legislative branch ""promote the Progress of Science and useful Arts, by securing for limited Times to Authors and Inventors the exclusive Right to their respective Writings and Discoveries."" The USPTO registers trademarks based on the commerce clause of the Constitution (Article I, Section 8, Clause 3). Under this system of protection, American industry has flourished. New products have been invented, new uses for old ones discovered, and employment opportunities created for millions of Americans. The strength and vitality of the U.S. economy depends directly on effective mechanisms that protect new ideas and investments in innovation and creativity. The continued demand for patents and trademarks underscores the ingenuity of American inventors and entrepreneurs. The USPTO is at the cutting edge of the nation's technological progress and achievement.

The USPTO advises the president of the United States, the secretary of commerce, and U.S. government agencies on intellectual property (IP) policy, protection, and enforcement; and promotes the stronger and more effective IP protection around the world. The USPTO furthers effective IP protection for U.S. innovators and entrepreneurs worldwide by working with other agencies to secure strong IP provisions in free trade and other international agreements. It also provides training, education, and capacity building programs designed to foster respect for IP and encourage the development of strong IP enforcement regimes by U.S. trading partners."
"22","NOAA","noaa","10/19/2016","The mission of the **National Oceanic and Atmospheric Administration (NOAA)** is to understand and predict changes in climate, weather, oceans, and coasts, to share that knowledge and information with others, and to conserve and manage coastal and marine ecosystems and resources.

NOAA is an agency that enriches life through science. Our reach goes from the surface of the sun to the depths of the ocean floor as we work to keep citizens informed of the changing environment around them.

From daily weather forecasts, severe storm warnings, and climate monitoring to fisheries management, coastal restoration and supporting marine commerce, NOAA’s products and services support economic vitality and affect more than one-third of America’s gross domestic product. NOAA’s dedicated scientists use cutting-edge research and high-tech instrumentation to provide citizens, planners, emergency managers and other decision makers with reliable information they need when they need it."
"41","BRIDGEi2i Analytics Solutions","BRIDGEi2iOrg","10/20/2016",""
"57","RSA Insurance Group","rsagroup","10/20/2016","With a 300 year heritage, RSA is one of the world’s leading multinational quoted insurance groups.

Focusing on general insurance, RSA's core markets are the UK and Ireland, Scandinavia and Canada with the capability to write business across the globe.

We have around 13,500 employees across our core businesses and, in 2015, our net written premiums were £6.8 billion."
"66","Stack Overflow","stackoverflow","10/20/2016","Stack Overflow is a question and answer site for professional and enthusiast programmers. Part of the Stack Exchange network, Stack Overflow was built by programmers, for programmers, and is the largest website for developers in the world."
"78","Avito","avitoru","10/20/2016","In Russia, if you're looking to sell a tractor, a designer dress, a vintage lunchbox, or even a house, your first stop will likely be Avito.ru. As the largest general classified website in Russia, Avito connects buyers and sellers across the world's biggest country."
"95","BioSENSE @ UC Berkeley School of Information","berkeley-biosense","10/21/2016","Biosensing technologies are finding their way beyond wristbands and eyeglasses, into clothing, furniture, and ingestibles. They offer opportunities for advances in our emotional and social wellbeing, but the sensitivity of data also raises important stewardship challenges. The group at UC Berkeley brings together a multi-disciplinary team to work on the future of biosensing and biosignaling."
"101","Michigan Data Science Team","um-mdst","10/22/2016",""
"106","4Quant","4quant","10/23/2016","From images to insight: Helping you make sense of complex imaging data

Our vision is to offer customized scalable analysis in the cloud to every imaging user from astrophysicists to cell from geographers to radiologists. We turn millions of pictures into information in one click.

We are involved in the entire cycle from experiment design to measurement to analysis and interpretation. Pick and choose which components make the most sense for your needs."
"110","lamda-dev","lamdadev","10/24/2016",""
